start_at,symbol,period,open,high,low,close
1609113600,ETHUSD,1,683.71,688.35,683.66,688.19
1609113660,ETHUSD,1,688.19,689.76,687.53,687.59
1609113720,ETHUSD,1,687.59,687.7,684.87,684.87
1609113780,ETHUSD,1,684.87,684.87,680.92,683.07
1609113840,ETHUSD,1,683.07,683.47,681.24,682.65
1609113900,ETHUSD,1,682.65,686.5,682.65,686.5
1609113960,ETHUSD,1,686.5,687.62,685.36,687.62
1609114020,ETHUSD,1,687.62,689.56,687.62,689.17
1609114080,ETHUSD,1,689.17,692.79,688.9,692.79
1609114140,ETHUSD,1,692.79,693.86,692.24,692.31
1609114200,ETHUSD,1,692.31,696.96,692.24,696.55
1609114260,ETHUSD,1,696.55,698.44,695.8,698.44
1609114320,ETHUSD,1,698.44,702.0,698.43,701.74
1609114380,ETHUSD,1,701.74,704.96,701.63,704.96
1609114440,ETHUSD,1,704.96,705.87,702.53,704.61
1609114500,ETHUSD,1,704.61,704.61,700.99,701.02
1609114560,ETHUSD,1,701.02,705.63,701.02,705.63
1609114620,ETHUSD,1,705.63,710.09,705.63,709.31
1609114680,ETHUSD,1,709.31,711.58,707.88,710.12
1609114740,ETHUSD,1,710.12,712.16,709.97,710.33
1609114800,ETHUSD,1,710.33,711.31,706.93,707.35
1609114860,ETHUSD,1,707.35,707.96,705.0,707.04
1609114920,ETHUSD,1,707.04,711.44,707.02,711.36
1609114980,ETHUSD,1,711.36,713.01,710.67,712.51
1609115040,ETHUSD,1,712.51,713.51,711.25,712.35
1609115100,ETHUSD,1,712.35,713.55,710.73,710.76
1609115160,ETHUSD,1,710.76,712.82,709.29,712.6
1609115220,ETHUSD,1,712.6,712.85,710.12,710.12
1609115280,ETHUSD,1,710.12,710.29,708.65,709.02
1609115340,ETHUSD,1,709.02,711.49,709.02,711.49
1609115400,ETHUSD,1,711.49,711.84,710.91,711.18
1609115460,ETHUSD,1,711.18,711.18,708.63,708.85
1609115520,ETHUSD,1,708.85,709.97,708.5,709.8
1609115580,ETHUSD,1,709.8,711.4,709.5,710.99
1609115640,ETHUSD,1,710.99,711.0,709.55,710.01
1609115700,ETHUSD,1,710.01,710.22,706.62,707.42
1609115760,ETHUSD,1,707.42,707.81,705.89,705.98
1609115820,ETHUSD,1,705.98,707.79,705.8,707.77
1609115880,ETHUSD,1,707.77,709.42,707.35,708.73
1609115940,ETHUSD,1,708.73,708.73,706.34,706.61
1609116000,ETHUSD,1,706.61,706.78,705.9,706.21
1609116060,ETHUSD,1,706.21,706.24,705.07,705.07
1609116120,ETHUSD,1,705.07,708.0,705.07,708.0
1609116180,ETHUSD,1,708.0,709.0,707.99,708.97
1609116240,ETHUSD,1,708.97,709.2,705.95,707.16
1609116300,ETHUSD,1,707.16,707.16,705.51,706.16
1609116360,ETHUSD,1,706.16,706.61,705.5,706.05
1609116420,ETHUSD,1,706.05,706.06,703.4,704.24
1609116480,ETHUSD,1,704.24,706.12,704.02,706.02
1609116540,ETHUSD,1,706.02,707.96,706.02,707.94
1609116600,ETHUSD,1,707.94,708.18,706.77,707.5
1609116660,ETHUSD,1,707.5,707.5,706.29,706.41
1609116720,ETHUSD,1,706.41,706.48,705.08,705.09
1609116780,ETHUSD,1,705.09,705.34,704.61,705.34
1609116840,ETHUSD,1,705.34,707.99,705.34,707.99
1609116900,ETHUSD,1,707.99,709.68,707.95,708.78
1609116960,ETHUSD,1,708.78,708.78,706.78,706.81
1609117020,ETHUSD,1,706.81,706.81,705.86,706.07
1609117080,ETHUSD,1,706.07,707.1,706.07,706.43
1609117140,ETHUSD,1,706.43,707.01,706.35,706.92
1609117200,ETHUSD,1,706.92,706.98,705.04,705.06
1609117260,ETHUSD,1,705.06,705.35,704.56,705.34
1609117320,ETHUSD,1,705.34,706.68,705.34,706.68
1609117380,ETHUSD,1,706.68,708.55,706.23,708.55
1609117440,ETHUSD,1,708.55,709.79,708.47,709.79
1609117500,ETHUSD,1,709.79,712.85,709.7,712.59
1609117560,ETHUSD,1,712.59,713.18,711.72,712.29
1609117620,ETHUSD,1,712.29,715.55,712.29,714.79
1609117680,ETHUSD,1,714.79,717.53,714.79,717.08
1609117740,ETHUSD,1,717.08,717.23,716.62,716.71
1609117800,ETHUSD,1,716.71,717.39,715.09,715.09
1609117860,ETHUSD,1,715.09,715.11,712.83,712.86
1609117920,ETHUSD,1,712.86,713.71,712.42,713.06
1609117980,ETHUSD,1,713.06,713.1,710.33,710.77
1609118040,ETHUSD,1,710.77,712.99,710.48,711.08
1609118100,ETHUSD,1,711.08,712.02,710.54,712.01
1609118160,ETHUSD,1,712.01,712.7,710.96,711.46
1609118220,ETHUSD,1,711.46,711.76,707.13,707.62
1609118280,ETHUSD,1,707.62,710.13,707.36,709.88
1609118340,ETHUSD,1,709.88,710.26,709.17,709.86
1609118400,ETHUSD,1,709.86,711.57,709.68,711.57
1609118460,ETHUSD,1,711.57,711.57,709.94,710.68
1609118520,ETHUSD,1,710.68,710.68,709.52,710.12
1609118580,ETHUSD,1,710.12,710.27,708.66,708.71
1609118640,ETHUSD,1,708.71,708.76,707.26,707.26
1609118700,ETHUSD,1,707.26,709.03,706.47,708.61
1609118760,ETHUSD,1,708.61,708.83,708.1,708.81
1609118820,ETHUSD,1,708.81,710.58,708.81,710.24
1609118880,ETHUSD,1,710.24,710.25,708.62,708.84
1609118940,ETHUSD,1,708.84,709.38,708.72,709.19
1609119000,ETHUSD,1,709.19,709.21,706.94,707.33
1609119060,ETHUSD,1,707.33,707.6,706.99,707.33
1609119120,ETHUSD,1,707.33,709.48,707.33,709.48
1609119180,ETHUSD,1,709.48,709.63,709.48,709.59
1609119240,ETHUSD,1,709.59,710.07,709.32,709.69
1609119300,ETHUSD,1,709.69,709.69,708.9,709.24
1609119360,ETHUSD,1,709.24,709.37,708.75,709.36
1609119420,ETHUSD,1,709.36,709.59,708.93,709.05
1609119480,ETHUSD,1,709.05,709.1,708.56,708.83
1609119540,ETHUSD,1,708.83,708.83,708.0,708.01
1609119600,ETHUSD,1,708.01,709.76,708.01,709.64
1609119660,ETHUSD,1,709.64,709.75,708.1,708.14
1609119720,ETHUSD,1,708.14,708.27,707.43,707.97
1609119780,ETHUSD,1,707.97,709.05,707.58,709.0
1609119840,ETHUSD,1,709.0,710.85,709.0,710.83
1609119900,ETHUSD,1,710.83,710.88,709.77,709.79
1609119960,ETHUSD,1,709.79,710.01,708.99,708.99
1609120020,ETHUSD,1,708.99,709.17,707.48,707.89
1609120080,ETHUSD,1,707.89,707.89,706.85,707.03
1609120140,ETHUSD,1,707.03,707.03,703.97,703.97
1609120200,ETHUSD,1,703.97,705.34,703.93,705.33
1609120260,ETHUSD,1,705.33,706.19,705.0,705.87
1609120320,ETHUSD,1,705.87,706.39,705.72,706.24
1609120380,ETHUSD,1,706.24,706.28,705.32,705.39
1609120440,ETHUSD,1,705.39,705.91,705.09,705.75
1609120500,ETHUSD,1,705.75,705.75,704.05,704.05
1609120560,ETHUSD,1,704.05,704.12,701.23,701.83
1609120620,ETHUSD,1,701.83,704.65,701.5,704.65
1609120680,ETHUSD,1,704.65,704.99,704.57,704.98
1609120740,ETHUSD,1,704.98,705.7,704.95,705.7
1609120800,ETHUSD,1,705.7,706.61,705.64,706.61
1609120860,ETHUSD,1,706.61,707.18,706.5,706.81
1609120920,ETHUSD,1,706.81,708.04,706.81,708.04
1609120980,ETHUSD,1,708.04,708.49,708.04,708.38
1609121040,ETHUSD,1,708.38,708.42,706.87,706.87
1609121100,ETHUSD,1,706.87,707.23,706.74,706.89
1609121160,ETHUSD,1,706.89,706.99,706.73,706.99
1609121220,ETHUSD,1,706.99,706.99,706.28,706.28
1609121280,ETHUSD,1,706.28,706.28,704.29,704.29
1609121340,ETHUSD,1,704.29,704.75,704.25,704.33
1609121400,ETHUSD,1,704.33,704.45,702.08,702.2
1609121460,ETHUSD,1,702.2,702.48,700.0,701.39
1609121520,ETHUSD,1,701.39,701.52,699.31,700.59
1609121580,ETHUSD,1,700.59,701.56,700.11,700.11
1609121640,ETHUSD,1,700.11,701.92,700.11,701.55
1609121700,ETHUSD,1,701.55,703.08,701.52,703.03
1609121760,ETHUSD,1,703.03,703.23,702.96,703.14
1609121820,ETHUSD,1,703.14,705.37,703.14,705.12
1609121880,ETHUSD,1,705.12,705.12,704.11,704.21
1609121940,ETHUSD,1,704.21,704.72,703.98,704.45
1609122000,ETHUSD,1,704.45,704.75,703.74,703.79
1609122060,ETHUSD,1,703.79,703.79,701.57,701.57
1609122120,ETHUSD,1,701.57,701.57,699.37,699.7
1609122180,ETHUSD,1,699.7,700.61,699.07,700.24
1609122240,ETHUSD,1,700.24,700.94,699.88,700.94
1609122300,ETHUSD,1,700.94,703.42,700.94,703.38
1609122360,ETHUSD,1,703.38,704.12,703.38,703.63
1609122420,ETHUSD,1,703.63,704.46,703.63,704.42
1609122480,ETHUSD,1,704.42,704.48,702.82,702.82
1609122540,ETHUSD,1,702.82,703.7,702.59,702.85
1609122600,ETHUSD,1,702.85,703.6,702.72,703.43
1609122660,ETHUSD,1,703.43,706.36,703.32,706.29
1609122720,ETHUSD,1,706.29,707.48,706.29,706.33
1609122780,ETHUSD,1,706.33,706.4,706.04,706.15
1609122840,ETHUSD,1,706.15,706.26,705.56,705.69
1609122900,ETHUSD,1,705.69,705.69,704.85,705.68
1609122960,ETHUSD,1,705.68,705.68,704.85,705.14
1609123020,ETHUSD,1,705.14,705.21,703.77,703.98
1609123080,ETHUSD,1,703.98,704.03,703.46,703.84
1609123140,ETHUSD,1,703.84,704.59,703.83,704.59
