start_at,symbol,period,open,high,low,close
1603324800,ETHUSD,1,391.55,392.14,391.36,392.14
1603324860,ETHUSD,1,392.14,392.79,392.14,392.77
1603324920,ETHUSD,1,392.77,393.35,392.77,393.35
1603324980,ETHUSD,1,393.35,393.93,393.35,393.55
1603325040,ETHUSD,1,393.55,393.94,393.55,393.69
1603325100,ETHUSD,1,393.69,393.69,393.3,393.3
1603325160,ETHUSD,1,393.3,393.47,393.24,393.41
1603325220,ETHUSD,1,393.41,393.78,393.41,393.57
1603325280,ETHUSD,1,393.57,394.04,393.57,393.83
1603325340,ETHUSD,1,393.83,393.83,393.25,393.25
1603325400,ETHUSD,1,393.25,393.57,393.25,393.57
1603325460,ETHUSD,1,393.57,394.01,393.54,393.83
1603325520,ETHUSD,1,393.83,393.84,393.57,393.68
1603325580,ETHUSD,1,393.68,393.85,393.65,393.85
1603325640,ETHUSD,1,393.85,394.41,393.85,394.16
1603325700,ETHUSD,1,394.16,394.21,393.84,394.21
1603325760,ETHUSD,1,394.21,394.9,394.18,394.83
1603325820,ETHUSD,1,394.83,394.83,394.26,394.52
1603325880,ETHUSD,1,394.52,394.82,394.46,394.82
1603325940,ETHUSD,1,394.82,394.98,394.81,394.98
1603326000,ETHUSD,1,394.98,394.98,394.48,394.49
1603326060,ETHUSD,1,394.49,394.78,394.49,394.57
1603326120,ETHUSD,1,394.57,394.8,394.55,394.61
1603326180,ETHUSD,1,394.61,394.69,394.53,394.55
1603326240,ETHUSD,1,394.55,394.59,394.17,394.54
1603326300,ETHUSD,1,394.54,394.54,394.02,394.04
1603326360,ETHUSD,1,394.04,394.1,393.99,394.06
1603326420,ETHUSD,1,394.06,394.14,394.06,394.14
1603326480,ETHUSD,1,394.14,394.14,393.92,394.04
1603326540,ETHUSD,1,394.04,394.04,393.62,393.63
1603326600,ETHUSD,1,393.63,393.87,393.63,393.84
1603326660,ETHUSD,1,393.84,393.93,393.48,393.88
1603326720,ETHUSD,1,393.88,393.88,393.41,393.51
1603326780,ETHUSD,1,393.51,393.89,393.51,393.89
1603326840,ETHUSD,1,393.89,394.09,393.39,393.59
1603326900,ETHUSD,1,393.59,393.98,393.58,393.98
1603326960,ETHUSD,1,393.98,394.35,393.98,394.34
1603327020,ETHUSD,1,394.34,394.5,394.33,394.35
1603327080,ETHUSD,1,394.35,394.37,394.15,394.15
1603327140,ETHUSD,1,394.15,394.31,393.9,394.31
1603327200,ETHUSD,1,394.31,394.53,394.22,394.53
1603327260,ETHUSD,1,394.53,394.9,394.5,394.9
1603327320,ETHUSD,1,394.9,395.55,394.9,395.55
1603327380,ETHUSD,1,395.55,395.68,395.12,395.68
1603327440,ETHUSD,1,395.68,395.77,395.33,395.69
1603327500,ETHUSD,1,395.69,395.69,395.36,395.63
1603327560,ETHUSD,1,395.63,395.74,395.63,395.72
1603327620,ETHUSD,1,395.72,395.91,395.72,395.91
1603327680,ETHUSD,1,395.91,397.09,395.91,396.57
1603327740,ETHUSD,1,396.57,396.74,396.45,396.74
1603327800,ETHUSD,1,396.74,396.74,396.4,396.53
1603327860,ETHUSD,1,396.53,396.55,396.22,396.37
1603327920,ETHUSD,1,396.37,396.43,396.06,396.06
1603327980,ETHUSD,1,396.06,396.47,396.06,396.36
1603328040,ETHUSD,1,396.36,396.62,396.36,396.49
1603328100,ETHUSD,1,396.49,396.49,396.3,396.4
1603328160,ETHUSD,1,396.4,396.41,396.28,396.28
1603328220,ETHUSD,1,396.28,396.61,396.28,396.61
1603328280,ETHUSD,1,396.61,396.63,396.44,396.47
1603328340,ETHUSD,1,396.47,396.81,396.47,396.7
1603328400,ETHUSD,1,396.7,396.74,395.98,395.98
1603328460,ETHUSD,1,395.98,396.1,395.94,396.07
1603328520,ETHUSD,1,396.07,396.12,396.07,396.09
1603328580,ETHUSD,1,396.09,396.1,396.03,396.03
1603328640,ETHUSD,1,396.03,396.16,396.03,396.04
1603328700,ETHUSD,1,396.04,396.04,396.0,396.04
1603328760,ETHUSD,1,396.04,396.04,395.65,395.75
1603328820,ETHUSD,1,395.75,395.82,395.57,395.57
1603328880,ETHUSD,1,395.57,395.57,395.42,395.42
1603328940,ETHUSD,1,395.42,395.66,395.41,395.62
1603329000,ETHUSD,1,395.62,395.62,395.29,395.45
1603329060,ETHUSD,1,395.45,395.46,395.29,395.35
1603329120,ETHUSD,1,395.35,395.4,395.33,395.4
1603329180,ETHUSD,1,395.4,395.47,395.4,395.47
1603329240,ETHUSD,1,395.47,395.6,395.47,395.52
1603329300,ETHUSD,1,395.52,395.52,395.42,395.52
1603329360,ETHUSD,1,395.52,395.68,395.43,395.6
1603329420,ETHUSD,1,395.6,395.95,395.59,395.95
1603329480,ETHUSD,1,395.95,396.67,395.95,396.67
1603329540,ETHUSD,1,396.67,397.42,396.58,397.42
1603329600,ETHUSD,1,397.42,397.9,397.42,397.76
1603329660,ETHUSD,1,397.76,398.46,397.62,398.34
1603329720,ETHUSD,1,398.34,398.34,397.95,397.96
1603329780,ETHUSD,1,397.96,398.2,397.94,398.03
1603329840,ETHUSD,1,398.03,398.09,397.91,398.08
1603329900,ETHUSD,1,398.08,398.08,397.75,397.88
1603329960,ETHUSD,1,397.88,398.05,397.87,397.97
1603330020,ETHUSD,1,397.97,398.13,397.97,398.1
1603330080,ETHUSD,1,398.1,398.1,397.83,397.87
1603330140,ETHUSD,1,397.87,397.88,397.72,397.72
1603330200,ETHUSD,1,397.72,397.99,397.67,397.95
1603330260,ETHUSD,1,397.95,398.16,397.95,398.01
1603330320,ETHUSD,1,398.01,398.03,397.81,397.88
1603330380,ETHUSD,1,397.88,397.88,397.69,397.7
1603330440,ETHUSD,1,397.7,397.7,397.61,397.61
1603330500,ETHUSD,1,397.61,397.61,397.5,397.5
1603330560,ETHUSD,1,397.5,397.51,397.26,397.26
1603330620,ETHUSD,1,397.26,397.26,396.95,397.05
1603330680,ETHUSD,1,397.05,397.16,396.77,396.78
1603330740,ETHUSD,1,396.78,396.78,396.66,396.74
1603330800,ETHUSD,1,396.74,396.78,396.5,396.5
1603330860,ETHUSD,1,396.5,396.55,396.46,396.49
1603330920,ETHUSD,1,396.49,396.49,396.36,396.38
1603330980,ETHUSD,1,396.38,396.38,395.96,396.29
1603331040,ETHUSD,1,396.29,396.33,396.12,396.16
1603331100,ETHUSD,1,396.16,396.94,396.16,396.94
1603331160,ETHUSD,1,396.94,396.96,396.71,396.74
1603331220,ETHUSD,1,396.74,396.75,396.65,396.67
1603331280,ETHUSD,1,396.67,397.05,396.67,396.97
1603331340,ETHUSD,1,396.97,396.97,396.65,396.66
1603331400,ETHUSD,1,396.66,396.81,396.66,396.7
1603331460,ETHUSD,1,396.7,396.92,396.69,396.86
1603331520,ETHUSD,1,396.86,396.96,396.86,396.94
1603331580,ETHUSD,1,396.94,397.41,396.94,397.36
1603331640,ETHUSD,1,397.36,397.48,397.31,397.46
