start_at,symbol,period,open,high,low,close
1599004800,ETHUSD,1,475.6,476.16,475.3,476.05
1599004860,ETHUSD,1,476.05,477.37,476.05,477.01
1599004920,ETHUSD,1,477.01,478.58,476.99,478.58
1599004980,ETHUSD,1,478.58,479.05,478.58,479.05
1599005040,ETHUSD,1,479.05,479.05,477.37,477.81
1599005100,ETHUSD,1,477.81,477.9,477.44,477.71
1599005160,ETHUSD,1,477.71,477.75,477.48,477.55
1599005220,ETHUSD,1,477.55,477.8,477.52,477.52
1599005280,ETHUSD,1,477.52,478.1,477.52,478.09
1599005340,ETHUSD,1,478.09,478.27,478.02,478.02
1599005400,ETHUSD,1,478.02,478.46,478.0,478.45
1599005460,ETHUSD,1,478.45,478.45,476.86,476.97
1599005520,ETHUSD,1,476.97,477.43,476.97,477.23
1599005580,ETHUSD,1,477.23,477.33,476.97,476.99
1599005640,ETHUSD,1,476.99,476.99,476.13,476.25
1599005700,ETHUSD,1,476.25,476.25,475.7,476.19
1599005760,ETHUSD,1,476.19,476.86,476.19,476.86
1599005820,ETHUSD,1,476.86,477.97,476.74,477.97
1599005880,ETHUSD,1,477.97,478.37,477.97,478.32
1599005940,ETHUSD,1,478.32,478.33,478.01,478.27
1599006000,ETHUSD,1,478.27,478.27,477.92,477.92
1599006060,ETHUSD,1,477.92,478.37,477.91,478.37
1599006120,ETHUSD,1,478.37,478.37,477.55,477.77
1599006180,ETHUSD,1,477.77,477.85,477.77,477.85
1599006240,ETHUSD,1,477.85,477.85,477.67,477.72
1599006300,ETHUSD,1,477.72,477.84,477.58,477.65
1599006360,ETHUSD,1,477.65,477.65,477.12,477.14
1599006420,ETHUSD,1,477.14,477.14,476.53,476.65
1599006480,ETHUSD,1,476.65,476.67,476.61,476.63
1599006540,ETHUSD,1,476.63,476.65,476.06,476.18
1599006600,ETHUSD,1,476.18,476.39,475.45,475.57
1599006660,ETHUSD,1,475.57,475.62,474.53,474.56
1599006720,ETHUSD,1,474.56,474.56,473.73,473.73
1599006780,ETHUSD,1,473.73,473.97,473.24,473.26
1599006840,ETHUSD,1,473.26,473.26,471.22,472.37
1599006900,ETHUSD,1,472.37,472.65,471.34,471.45
1599006960,ETHUSD,1,471.45,471.45,467.98,470.32
1599007020,ETHUSD,1,470.32,472.05,470.32,472.01
1599007080,ETHUSD,1,472.01,472.03,471.42,471.67
1599007140,ETHUSD,1,471.67,472.06,471.67,472.05
1599007200,ETHUSD,1,472.05,472.82,472.05,472.79
1599007260,ETHUSD,1,472.79,473.59,472.63,473.59
1599007320,ETHUSD,1,473.59,473.95,473.25,473.93
1599007380,ETHUSD,1,473.93,474.04,473.63,473.63
1599007440,ETHUSD,1,473.63,473.64,473.25,473.25
1599007500,ETHUSD,1,473.25,473.66,473.16,473.66
1599007560,ETHUSD,1,473.66,474.2,473.66,474.15
1599007620,ETHUSD,1,474.15,474.29,473.99,473.99
1599007680,ETHUSD,1,473.99,474.0,473.34,473.38
1599007740,ETHUSD,1,473.38,473.41,471.88,471.88
1599007800,ETHUSD,1,471.88,472.27,471.32,471.32
1599007860,ETHUSD,1,471.32,471.32,469.95,469.96
1599007920,ETHUSD,1,469.96,470.59,469.72,470.33
1599007980,ETHUSD,1,470.33,470.33,468.97,469.25
1599008040,ETHUSD,1,469.25,470.11,469.25,469.98
1599008100,ETHUSD,1,469.98,469.98,468.39,469.13
1599008160,ETHUSD,1,469.13,469.5,466.96,469.5
1599008220,ETHUSD,1,469.5,470.41,469.32,469.56
1599008280,ETHUSD,1,469.56,469.56,467.87,468.16
1599008340,ETHUSD,1,468.16,468.91,466.68,468.71
1599008400,ETHUSD,1,468.71,469.01,467.86,468.4
1599008460,ETHUSD,1,468.4,469.35,467.92,469.18
1599008520,ETHUSD,1,469.18,470.17,469.18,470.1
1599008580,ETHUSD,1,470.1,470.6,470.09,470.6
1599008640,ETHUSD,1,470.6,471.0,469.59,469.59
1599008700,ETHUSD,1,469.59,470.05,469.48,469.93
1599008760,ETHUSD,1,469.93,469.93,469.48,469.48
1599008820,ETHUSD,1,469.48,469.48,468.04,468.08
1599008880,ETHUSD,1,468.08,468.34,466.93,467.23
1599008940,ETHUSD,1,467.23,467.66,466.31,466.99
1599009000,ETHUSD,1,466.99,467.17,465.52,466.24
