start_at,symbol,period,open,high,low,close
1584921600,ETHUSD,1,122.44,122.44,121.74,121.8
1584921660,ETHUSD,1,121.8,121.92,121.64,121.92
1584921720,ETHUSD,1,121.92,121.92,120.1,120.13
1584921780,ETHUSD,1,120.13,122.45,119.33,122.45
1584921840,ETHUSD,1,122.45,122.64,121.8,122.07
1584921900,ETHUSD,1,122.07,122.79,122.07,122.58
1584921960,ETHUSD,1,122.58,123.78,122.52,123.2
1584922020,ETHUSD,1,123.2,123.75,122.9,123.43
1584922080,ETHUSD,1,123.43,123.83,123.21,123.37
1584922140,ETHUSD,1,123.37,123.53,123.18,123.46
1584922200,ETHUSD,1,123.46,124.22,123.46,124.09
1584922260,ETHUSD,1,124.09,124.82,124.09,124.43
1584922320,ETHUSD,1,124.43,124.43,124.14,124.39
1584922380,ETHUSD,1,124.39,124.4,124.04,124.05
1584922440,ETHUSD,1,124.05,124.17,123.95,124.07
1584922500,ETHUSD,1,124.07,124.07,123.56,123.72
1584922560,ETHUSD,1,123.72,123.72,123.23,123.35
1584922620,ETHUSD,1,123.35,123.55,123.19,123.55
1584922680,ETHUSD,1,123.55,123.73,123.55,123.72
1584922740,ETHUSD,1,123.72,123.88,123.67,123.87
1584922800,ETHUSD,1,123.87,124.03,123.87,124.02
1584922860,ETHUSD,1,124.02,124.04,123.93,123.93
1584922920,ETHUSD,1,123.93,124.06,123.83,123.99
1584922980,ETHUSD,1,123.99,124.39,123.94,124.33
1584923040,ETHUSD,1,124.33,125.2,124.33,125.2
1584923100,ETHUSD,1,125.2,125.3,124.87,124.98
1584923160,ETHUSD,1,124.98,125.03,124.78,124.93
1584923220,ETHUSD,1,124.93,125.21,124.87,124.95
1584923280,ETHUSD,1,124.95,125.15,124.93,125.09
1584923340,ETHUSD,1,125.09,125.09,124.8,124.94
1584923400,ETHUSD,1,124.94,125.25,124.85,124.88
1584923460,ETHUSD,1,124.88,124.97,124.66,124.69
1584923520,ETHUSD,1,124.69,124.69,124.58,124.63
