start_at,symbol,period,open,high,low,close
1635379200,ETHUSD,1,3924.71,3930.66,3923.2,3930.46
1635379260,ETHUSD,1,3930.46,3930.62,3925.51,3928.42
1635379320,ETHUSD,1,3928.42,3934.89,3924.68,3929.75
1635379380,ETHUSD,1,3929.75,3936.76,3929.45,3936.11
1635379440,ETHUSD,1,3936.11,3942.58,3935.75,3941.45
1635379500,ETHUSD,1,3941.45,3946.45,3939.79,3946.41
1635379560,ETHUSD,1,3946.41,3951.51,3943.89,3950.08
1635379620,ETHUSD,1,3950.08,3951.91,3948.63,3950.34
1635379680,ETHUSD,1,3950.34,3950.34,3938.98,3938.98
1635379740,ETHUSD,1,3938.98,3938.98,3928.93,3934.2
1635379800,ETHUSD,1,3934.2,3937.21,3931.02,3934.4
1635379860,ETHUSD,1,3934.4,3944.71,3933.6,3944.27
1635379920,ETHUSD,1,3944.27,3955.78,3943.22,3954.49
1635379980,ETHUSD,1,3954.49,3958.49,3953.75,3957.42
1635380040,ETHUSD,1,3957.42,3959.72,3954.97,3954.97
1635380100,ETHUSD,1,3954.97,3961.99,3954.53,3961.99
1635380160,ETHUSD,1,3961.99,3965.88,3960.5,3965.88
1635380220,ETHUSD,1,3965.88,3970.65,3960.71,3961.86
1635380280,ETHUSD,1,3961.86,3967.89,3960.03,3967.52
1635380340,ETHUSD,1,3967.52,3967.57,3962.62,3963.13
1635380400,ETHUSD,1,3963.13,3969.03,3963.13,3968.53
1635380460,ETHUSD,1,3968.53,3968.63,3965.16,3966.85
1635380520,ETHUSD,1,3966.85,3967.8,3962.44,3963.1
1635380580,ETHUSD,1,3963.1,3964.61,3961.86,3963.65
1635380640,ETHUSD,1,3963.65,3963.68,3958.72,3960.07
1635380700,ETHUSD,1,3960.07,3960.07,3955.46,3955.48
1635380760,ETHUSD,1,3955.48,3955.84,3953.58,3953.93
1635380820,ETHUSD,1,3953.93,3954.97,3953.12,3954.03
1635380880,ETHUSD,1,3954.03,3954.24,3952.49,3953.23
1635380940,ETHUSD,1,3953.23,3953.35,3946.39,3946.87
1635381000,ETHUSD,1,3946.87,3949.73,3946.87,3949.73
1635381060,ETHUSD,1,3949.73,3951.56,3941.3,3942.0
1635381120,ETHUSD,1,3942.0,3942.87,3940.26,3941.16
1635381180,ETHUSD,1,3941.16,3941.16,3935.88,3938.13
1635381240,ETHUSD,1,3938.13,3938.25,3933.17,3934.64
1635381300,ETHUSD,1,3934.64,3936.25,3933.45,3934.81
1635381360,ETHUSD,1,3934.81,3944.15,3934.81,3943.7
1635381420,ETHUSD,1,3943.7,3951.89,3943.7,3951.57
1635381480,ETHUSD,1,3951.57,3953.02,3949.94,3950.78
1635381540,ETHUSD,1,3950.78,3950.8,3948.19,3948.43
1635381600,ETHUSD,1,3948.43,3948.43,3937.41,3939.05
1635381660,ETHUSD,1,3939.05,3944.67,3939.05,3940.34
1635381720,ETHUSD,1,3940.34,3941.09,3938.23,3938.23
1635381780,ETHUSD,1,3938.23,3942.28,3938.23,3941.24
1635381840,ETHUSD,1,3941.24,3942.69,3940.44,3941.67
1635381900,ETHUSD,1,3941.67,3949.83,3940.77,3949.83
1635381960,ETHUSD,1,3949.83,3950.71,3944.75,3945.57
1635382020,ETHUSD,1,3945.57,3945.9,3943.08,3943.08
1635382080,ETHUSD,1,3943.08,3943.08,3939.34,3939.4
1635382140,ETHUSD,1,3939.4,3939.41,3933.4,3934.12
1635382200,ETHUSD,1,3934.12,3934.12,3930.03,3930.93
1635382260,ETHUSD,1,3930.93,3931.93,3928.23,3930.8
1635382320,ETHUSD,1,3930.8,3935.41,3929.84,3931.46
1635382380,ETHUSD,1,3931.46,3931.46,3925.24,3927.0
1635382440,ETHUSD,1,3927.0,3935.0,3922.59,3933.2
1635382500,ETHUSD,1,3933.2,3934.24,3927.49,3928.28
1635382560,ETHUSD,1,3928.28,3931.69,3927.21,3927.53
1635382620,ETHUSD,1,3927.53,3928.49,3920.75,3922.03
1635382680,ETHUSD,1,3922.03,3923.51,3918.47,3918.47
1635382740,ETHUSD,1,3918.47,3920.25,3917.47,3917.48
1635382800,ETHUSD,1,3917.48,3917.66,3914.26,3914.26
1635382860,ETHUSD,1,3914.26,3914.26,3903.11,3903.66
1635382920,ETHUSD,1,3903.66,3916.18,3895.91,3916.18
1635382980,ETHUSD,1,3916.18,3924.91,3916.13,3924.48
1635383040,ETHUSD,1,3924.48,3935.13,3922.96,3935.13
1635383100,ETHUSD,1,3935.13,3942.26,3934.45,3940.22
1635383160,ETHUSD,1,3940.22,3943.04,3936.66,3937.33
1635383220,ETHUSD,1,3937.33,3937.52,3934.29,3935.1
1635383280,ETHUSD,1,3935.1,3938.45,3935.1,3938.45
1635383340,ETHUSD,1,3938.45,3945.16,3938.22,3944.84
1635383400,ETHUSD,1,3944.84,3945.93,3941.18,3945.74
1635383460,ETHUSD,1,3945.74,3949.12,3944.68,3947.97
1635383520,ETHUSD,1,3947.97,3954.19,3947.97,3953.36
1635383580,ETHUSD,1,3953.36,3954.54,3952.33,3954.54
1635383640,ETHUSD,1,3954.54,3955.09,3951.88,3952.49
1635383700,ETHUSD,1,3952.49,3953.44,3946.48,3946.48
1635383760,ETHUSD,1,3946.48,3948.94,3946.48,3948.69
1635383820,ETHUSD,1,3948.69,3963.45,3948.37,3963.45
1635383880,ETHUSD,1,3963.45,3965.8,3961.8,3965.77
1635383940,ETHUSD,1,3965.77,3966.8,3962.73,3962.73
1635384000,ETHUSD,1,3962.73,3970.07,3961.78,3969.64
1635384060,ETHUSD,1,3969.64,3974.68,3963.22,3963.26
1635384120,ETHUSD,1,3963.26,3963.26,3957.03,3957.03
1635384180,ETHUSD,1,3957.03,3957.08,3950.12,3951.29
1635384240,ETHUSD,1,3951.29,3952.91,3951.24,3952.31
1635384300,ETHUSD,1,3952.31,3957.68,3952.11,3957.15
