start_at,symbol,period,open,high,low,close
1676592000,ETHUSD,1,1638.14,1639.31,1635.84,1636.48
1676592060,ETHUSD,1,1636.48,1638.61,1632.61,1634.7
1676592120,ETHUSD,1,1634.7,1636.77,1631.02,1633.65
1676592180,ETHUSD,1,1633.65,1640.84,1632.53,1639.99
1676592240,ETHUSD,1,1639.99,1641.37,1638.75,1640.88
1676592300,ETHUSD,1,1640.88,1643.97,1640.28,1643.05
1676592360,ETHUSD,1,1643.05,1643.97,1642.32,1642.68
1676592420,ETHUSD,1,1642.68,1643.41,1641.22,1641.67
1676592480,ETHUSD,1,1641.67,1642.7,1641.61,1642.38
1676592540,ETHUSD,1,1642.38,1646.09,1642.28,1645.73
1676592600,ETHUSD,1,1645.73,1646.3,1643.45,1644.05
1676592660,ETHUSD,1,1644.05,1644.85,1641.59,1643.52
1676592720,ETHUSD,1,1643.52,1646.48,1642.94,1643.76
1676592780,ETHUSD,1,1643.76,1645.29,1643.45,1644.24
1676592840,ETHUSD,1,1644.24,1645.19,1642.51,1643.32
1676592900,ETHUSD,1,1643.32,1645.05,1642.77,1644.88
1676592960,ETHUSD,1,1644.88,1645.19,1642.9,1644.6
1676593020,ETHUSD,1,1644.6,1645.21,1643.39,1643.99
1676593080,ETHUSD,1,1643.99,1645.16,1643.13,1644.28
1676593140,ETHUSD,1,1644.28,1644.7,1643.66,1644.58
1676593200,ETHUSD,1,1644.58,1644.77,1643.49,1644.49
1676593260,ETHUSD,1,1644.49,1644.61,1642.25,1643.75
1676593320,ETHUSD,1,1643.75,1644.94,1642.98,1644.51
1676593380,ETHUSD,1,1644.51,1645.28,1643.9,1644.9
1676593440,ETHUSD,1,1644.9,1645.51,1644.79,1645.22
1676593500,ETHUSD,1,1645.22,1645.87,1644.59,1645.55
1676593560,ETHUSD,1,1645.55,1646.62,1645.4,1646.39
1676593620,ETHUSD,1,1646.39,1646.64,1644.48,1645.3
1676593680,ETHUSD,1,1645.3,1645.68,1644.96,1645.67
1676593740,ETHUSD,1,1645.67,1646.62,1645.66,1646.4
1676593800,ETHUSD,1,1646.4,1647.52,1646.21,1647.29
1676593860,ETHUSD,1,1647.29,1649.01,1646.91,1648.25
1676593920,ETHUSD,1,1648.25,1650.76,1648.13,1649.22
1676593980,ETHUSD,1,1649.22,1651.18,1648.47,1650.69
1676594040,ETHUSD,1,1650.69,1651.66,1649.94,1651.48
1676594100,ETHUSD,1,1651.48,1651.86,1649.28,1651.04
1676594160,ETHUSD,1,1651.04,1651.65,1649.55,1650.65
1676594220,ETHUSD,1,1650.65,1651.79,1649.73,1651.69
1676594280,ETHUSD,1,1651.69,1652.44,1650.5,1652.2
1676594340,ETHUSD,1,1652.2,1654.91,1651.86,1654.32
1676594400,ETHUSD,1,1654.32,1654.98,1652.74,1652.88
1676594460,ETHUSD,1,1652.88,1653.01,1651.6,1652.27
1676594520,ETHUSD,1,1652.27,1653.12,1651.94,1652.55
1676594580,ETHUSD,1,1652.55,1652.96,1651.25,1651.97
1676594640,ETHUSD,1,1651.97,1654.82,1651.85,1654.55
1676594700,ETHUSD,1,1654.55,1655.99,1653.53,1654.24
1676594760,ETHUSD,1,1654.24,1655.68,1653.13,1655.6
1676594820,ETHUSD,1,1655.6,1656.15,1653.88,1654.29
1676594880,ETHUSD,1,1654.29,1655.63,1653.37,1655.56
1676594940,ETHUSD,1,1655.56,1656.27,1654.33,1654.53
1676595000,ETHUSD,1,1654.53,1654.72,1651.8,1651.85
1676595060,ETHUSD,1,1651.85,1652.86,1651.38,1652.15
1676595120,ETHUSD,1,1652.15,1652.8,1652.08,1652.16
1676595180,ETHUSD,1,1652.16,1652.5,1651.14,1651.98
1676595240,ETHUSD,1,1651.98,1653.88,1651.35,1653.76
1676595300,ETHUSD,1,1653.76,1654.06,1652.26,1652.58
1676595360,ETHUSD,1,1652.58,1653.4,1652.13,1653.1
1676595420,ETHUSD,1,1653.1,1653.91,1652.86,1653.91
1676595480,ETHUSD,1,1653.91,1654.86,1653.37,1654.24
1676595540,ETHUSD,1,1654.24,1654.4,1653.42,1653.6
1676595600,ETHUSD,1,1653.6,1653.78,1652.16,1652.71
1676595660,ETHUSD,1,1652.71,1652.87,1651.04,1651.77
1676595720,ETHUSD,1,1651.77,1652.43,1651.07,1651.98
1676595780,ETHUSD,1,1651.98,1652.52,1651.61,1651.69
