start_at,symbol,period,open,high,low,close
1677542400,ETHUSD,1,1633.48,1633.78,1633.05,1633.27
1677542460,ETHUSD,1,1633.27,1634.22,1633.11,1634.0
1677542520,ETHUSD,1,1634.0,1634.35,1633.56,1633.97
1677542580,ETHUSD,1,1633.97,1634.42,1633.86,1634.3
1677542640,ETHUSD,1,1634.3,1634.58,1634.06,1634.54
1677542700,ETHUSD,1,1634.54,1634.73,1633.62,1633.74
1677542760,ETHUSD,1,1633.74,1633.86,1633.07,1633.17
1677542820,ETHUSD,1,1633.17,1633.61,1632.75,1632.97
1677542880,ETHUSD,1,1632.97,1633.55,1632.84,1633.13
1677542940,ETHUSD,1,1633.13,1634.05,1632.78,1634.01
1677543000,ETHUSD,1,1634.01,1634.39,1633.57,1634.14
1677543060,ETHUSD,1,1634.14,1634.52,1633.26,1633.41
1677543120,ETHUSD,1,1633.41,1633.79,1633.18,1633.33
1677543180,ETHUSD,1,1633.33,1633.41,1632.55,1632.65
1677543240,ETHUSD,1,1632.65,1633.32,1632.49,1633.09
1677543300,ETHUSD,1,1633.09,1633.17,1632.78,1632.83
1677543360,ETHUSD,1,1632.83,1633.26,1632.5,1632.58
1677543420,ETHUSD,1,1632.58,1633.48,1632.2,1633.0
1677543480,ETHUSD,1,1633.0,1633.99,1632.89,1633.99
1677543540,ETHUSD,1,1633.99,1634.53,1633.86,1634.08
1677543600,ETHUSD,1,1634.08,1634.48,1633.95,1634.31
1677543660,ETHUSD,1,1634.31,1634.38,1633.93,1634.05
1677543720,ETHUSD,1,1634.05,1635.1,1633.67,1634.43
1677543780,ETHUSD,1,1634.43,1635.76,1634.43,1635.54
1677543840,ETHUSD,1,1635.54,1635.69,1634.47,1634.58
1677543900,ETHUSD,1,1634.58,1635.2,1634.34,1635.09
1677543960,ETHUSD,1,1635.09,1636.14,1635.09,1636.01
1677544020,ETHUSD,1,1636.01,1636.44,1634.17,1634.35
1677544080,ETHUSD,1,1634.35,1634.56,1631.22,1631.83
1677544140,ETHUSD,1,1631.83,1632.17,1631.32,1631.69
1677544200,ETHUSD,1,1631.69,1633.49,1631.6,1633.46
1677544260,ETHUSD,1,1633.46,1634.45,1633.4,1634.07
1677544320,ETHUSD,1,1634.07,1635.5,1634.04,1635.35
1677544380,ETHUSD,1,1635.35,1635.93,1633.88,1633.88
1677544440,ETHUSD,1,1633.88,1633.93,1630.78,1630.98
1677544500,ETHUSD,1,1630.98,1631.18,1627.4,1628.83
1677544560,ETHUSD,1,1628.83,1629.36,1628.16,1629.05
1677544620,ETHUSD,1,1629.05,1629.75,1629.0,1629.64
1677544680,ETHUSD,1,1629.64,1629.88,1628.9,1629.66
1677544740,ETHUSD,1,1629.66,1631.45,1629.66,1630.98
1677544800,ETHUSD,1,1630.98,1631.31,1629.63,1629.83
1677544860,ETHUSD,1,1629.83,1630.37,1629.68,1630.11
1677544920,ETHUSD,1,1630.11,1630.49,1629.07,1629.16
1677544980,ETHUSD,1,1629.16,1630.21,1628.98,1630.12
1677545040,ETHUSD,1,1630.12,1630.55,1629.99,1630.4
1677545100,ETHUSD,1,1630.4,1631.48,1630.35,1631.14
1677545160,ETHUSD,1,1631.14,1631.25,1630.14,1630.26
1677545220,ETHUSD,1,1630.26,1630.35,1629.74,1629.74
1677545280,ETHUSD,1,1629.74,1629.85,1628.71,1629.13
1677545340,ETHUSD,1,1629.13,1629.2,1628.38,1628.97
1677545400,ETHUSD,1,1628.97,1629.25,1628.43,1628.46
1677545460,ETHUSD,1,1628.46,1628.62,1627.34,1627.34
1677545520,ETHUSD,1,1627.34,1629.04,1627.34,1627.95
1677545580,ETHUSD,1,1627.95,1629.28,1627.92,1629.22
1677545640,ETHUSD,1,1629.22,1629.31,1629.03,1629.11
1677545700,ETHUSD,1,1629.11,1630.07,1629.09,1629.83
1677545760,ETHUSD,1,1629.83,1630.28,1629.67,1630.04
1677545820,ETHUSD,1,1630.04,1630.22,1628.4,1629.46
1677545880,ETHUSD,1,1629.46,1629.75,1628.68,1628.74
1677545940,ETHUSD,1,1628.74,1629.51,1628.28,1628.55
1677546000,ETHUSD,1,1628.55,1629.16,1628.39,1628.9
1677546060,ETHUSD,1,1628.9,1629.32,1627.97,1628.12
1677546120,ETHUSD,1,1628.12,1628.7,1627.82,1628.0
1677546180,ETHUSD,1,1628.0,1628.14,1627.41,1627.44
1677546240,ETHUSD,1,1627.44,1627.98,1627.4,1627.88
1677546300,ETHUSD,1,1627.88,1628.75,1627.66,1627.99
1677546360,ETHUSD,1,1627.99,1628.73,1627.71,1628.54
1677546420,ETHUSD,1,1628.54,1630.32,1628.5,1629.43
1677546480,ETHUSD,1,1629.43,1630.12,1629.19,1630.03
1677546540,ETHUSD,1,1630.03,1630.48,1629.7,1630.11
1677546600,ETHUSD,1,1630.11,1630.39,1629.52,1629.59
1677546660,ETHUSD,1,1629.59,1630.44,1629.5,1630.43
1677546720,ETHUSD,1,1630.43,1631.55,1630.33,1631.33
1677546780,ETHUSD,1,1631.33,1631.83,1631.18,1631.49
1677546840,ETHUSD,1,1631.49,1631.64,1630.89,1631.52
1677546900,ETHUSD,1,1631.52,1631.94,1631.45,1631.73
1677546960,ETHUSD,1,1631.73,1632.21,1631.67,1631.84
1677547020,ETHUSD,1,1631.84,1631.91,1630.73,1631.19
1677547080,ETHUSD,1,1631.19,1631.9,1630.26,1630.26
1677547140,ETHUSD,1,1630.26,1630.47,1629.98,1630.3
1677547200,ETHUSD,1,1630.3,1630.54,1630.03,1630.43
1677547260,ETHUSD,1,1630.43,1630.53,1629.91,1630.07
1677547320,ETHUSD,1,1630.07,1630.74,1629.69,1630.73
1677547380,ETHUSD,1,1630.73,1631.35,1630.65,1630.79
1677547440,ETHUSD,1,1630.79,1631.12,1630.69,1630.83
1677547500,ETHUSD,1,1630.83,1631.05,1629.48,1629.5
1677547560,ETHUSD,1,1629.5,1629.79,1629.24,1629.7
1677547620,ETHUSD,1,1629.7,1629.9,1629.38,1629.68
