start_at,symbol,period,open,high,low,close
1646438400,ETHUSD,1,2622.67,2623.04,2621.2,2623.03
1646438460,ETHUSD,1,2623.03,2623.05,2620.15,2620.15
1646438520,ETHUSD,1,2620.15,2620.15,2615.09,2615.09
1646438580,ETHUSD,1,2615.09,2617.31,2611.82,2617.15
1646438640,ETHUSD,1,2617.15,2620.29,2617.01,2619.11
1646438700,ETHUSD,1,2619.11,2619.21,2615.77,2616.08
1646438760,ETHUSD,1,2616.08,2616.51,2613.31,2613.4
1646438820,ETHUSD,1,2613.4,2616.25,2611.59,2616.21
1646438880,ETHUSD,1,2616.21,2616.21,2611.27,2612.22
1646438940,ETHUSD,1,2612.22,2614.59,2612.22,2614.59
1646439000,ETHUSD,1,2614.59,2620.19,2614.33,2617.43
1646439060,ETHUSD,1,2617.43,2618.19,2615.95,2615.95
1646439120,ETHUSD,1,2615.95,2620.12,2613.15,2619.6
1646439180,ETHUSD,1,2619.6,2620.62,2616.91,2616.91
1646439240,ETHUSD,1,2616.91,2619.77,2615.29,2616.28
1646439300,ETHUSD,1,2616.28,2616.66,2611.08,2611.08
1646439360,ETHUSD,1,2611.08,2613.53,2610.88,2611.06
1646439420,ETHUSD,1,2611.06,2615.11,2611.02,2615.11
1646439480,ETHUSD,1,2615.11,2617.59,2615.11,2616.78
1646439540,ETHUSD,1,2616.78,2617.3,2613.91,2614.59
1646439600,ETHUSD,1,2614.59,2615.99,2613.94,2614.0
1646439660,ETHUSD,1,2614.0,2615.42,2613.99,2614.89
1646439720,ETHUSD,1,2614.89,2615.8,2614.84,2615.62
1646439780,ETHUSD,1,2615.62,2616.67,2615.61,2616.52
1646439840,ETHUSD,1,2616.52,2616.78,2615.89,2616.7
1646439900,ETHUSD,1,2616.7,2618.99,2616.41,2618.62
1646439960,ETHUSD,1,2618.62,2621.69,2618.6,2621.69
1646440020,ETHUSD,1,2621.69,2622.26,2620.14,2620.82
1646440080,ETHUSD,1,2620.82,2621.03,2617.81,2617.96
1646440140,ETHUSD,1,2617.96,2618.41,2616.96,2617.32
1646440200,ETHUSD,1,2617.32,2617.59,2615.38,2615.58
1646440260,ETHUSD,1,2615.58,2615.82,2614.26,2615.06
1646440320,ETHUSD,1,2615.06,2615.15,2609.98,2609.98
1646440380,ETHUSD,1,2609.98,2609.98,2602.72,2604.25
1646440440,ETHUSD,1,2604.25,2609.56,2604.25,2609.34
1646440500,ETHUSD,1,2609.34,2613.97,2608.96,2612.69
1646440560,ETHUSD,1,2612.69,2613.7,2611.28,2612.95
1646440620,ETHUSD,1,2612.95,2613.87,2611.07,2611.17
1646440680,ETHUSD,1,2611.17,2611.23,2603.52,2605.45
1646440740,ETHUSD,1,2605.45,2606.44,2604.44,2604.52
1646440800,ETHUSD,1,2604.52,2605.89,2602.15,2605.64
1646440860,ETHUSD,1,2605.64,2608.52,2605.64,2607.24
1646440920,ETHUSD,1,2607.24,2607.53,2605.13,2605.42
1646440980,ETHUSD,1,2605.42,2605.48,2603.69,2603.7
1646441040,ETHUSD,1,2603.7,2603.7,2597.74,2599.05
1646441100,ETHUSD,1,2599.05,2600.39,2598.9,2599.5
1646441160,ETHUSD,1,2599.5,2601.27,2598.95,2600.76
1646441220,ETHUSD,1,2600.76,2603.29,2600.22,2603.27
1646441280,ETHUSD,1,2603.27,2603.8,2602.73,2603.53
1646441340,ETHUSD,1,2603.53,2604.13,2603.43,2603.78
1646441400,ETHUSD,1,2603.78,2606.49,2603.46,2606.17
1646441460,ETHUSD,1,2606.17,2608.73,2606.13,2608.71
1646441520,ETHUSD,1,2608.71,2609.74,2608.41,2609.13
1646441580,ETHUSD,1,2609.13,2609.78,2607.45,2607.49
1646441640,ETHUSD,1,2607.49,2607.49,2606.15,2606.28
1646441700,ETHUSD,1,2606.28,2608.03,2606.15,2606.61
1646441760,ETHUSD,1,2606.61,2608.86,2606.04,2606.75
1646441820,ETHUSD,1,2606.75,2606.89,2602.3,2602.37
1646441880,ETHUSD,1,2602.37,2602.48,2598.36,2598.8
1646441940,ETHUSD,1,2598.8,2599.83,2595.36,2595.36
1646442000,ETHUSD,1,2595.36,2600.59,2595.36,2600.59
1646442060,ETHUSD,1,2600.59,2602.43,2600.21,2600.21
1646442120,ETHUSD,1,2600.21,2600.21,2593.41,2593.95
1646442180,ETHUSD,1,2593.95,2602.24,2590.53,2602.24
1646442240,ETHUSD,1,2602.24,2606.18,2602.24,2605.65
1646442300,ETHUSD,1,2605.65,2612.87,2605.65,2610.49
1646442360,ETHUSD,1,2610.49,2610.66,2606.79,2608.3
1646442420,ETHUSD,1,2608.3,2609.36,2606.36,2606.6
1646442480,ETHUSD,1,2606.6,2610.25,2606.58,2609.0
1646442540,ETHUSD,1,2609.0,2610.87,2608.92,2610.87
1646442600,ETHUSD,1,2610.87,2611.52,2610.35,2611.23
1646442660,ETHUSD,1,2611.23,2611.94,2610.94,2611.39
1646442720,ETHUSD,1,2611.39,2612.74,2611.08,2612.74
1646442780,ETHUSD,1,2612.74,2613.4,2612.56,2613.13
1646442840,ETHUSD,1,2613.13,2617.9,2613.13,2617.42
1646442900,ETHUSD,1,2617.42,2618.14,2612.91,2613.12
1646442960,ETHUSD,1,2613.12,2613.46,2610.19,2610.53
1646443020,ETHUSD,1,2610.53,2613.14,2609.76,2612.04
1646443080,ETHUSD,1,2612.04,2612.08,2611.1,2612.08
1646443140,ETHUSD,1,2612.08,2612.21,2610.51,2611.36
1646443200,ETHUSD,1,2611.36,2613.65,2611.27,2613.23
1646443260,ETHUSD,1,2613.23,2615.63,2613.23,2615.63
1646443320,ETHUSD,1,2615.63,2615.63,2614.61,2614.92
1646443380,ETHUSD,1,2614.92,2615.45,2611.61,2612.14
1646443440,ETHUSD,1,2612.14,2613.96,2612.11,2613.42
1646443500,ETHUSD,1,2613.42,2614.71,2613.41,2614.07
1646443560,ETHUSD,1,2614.07,2614.66,2607.53,2607.54
1646443620,ETHUSD,1,2607.54,2609.05,2605.28,2608.74
1646443680,ETHUSD,1,2608.74,2610.27,2608.74,2609.48
1646443740,ETHUSD,1,2609.48,2610.85,2609.48,2610.42
1646443800,ETHUSD,1,2610.42,2610.71,2608.68,2608.9
1646443860,ETHUSD,1,2608.9,2609.4,2607.09,2607.81
1646443920,ETHUSD,1,2607.81,2608.86,2607.3,2607.88
1646443980,ETHUSD,1,2607.88,2608.25,2607.57,2607.94
1646444040,ETHUSD,1,2607.94,2608.11,2607.3,2607.87
1646444100,ETHUSD,1,2607.87,2607.91,2605.4,2605.4
1646444160,ETHUSD,1,2605.4,2605.87,2600.04,2600.05
1646444220,ETHUSD,1,2600.05,2603.79,2600.04,2600.41
1646444280,ETHUSD,1,2600.41,2603.89,2600.0,2603.19
1646444340,ETHUSD,1,2603.19,2607.51,2601.85,2607.32
1646444400,ETHUSD,1,2607.32,2610.08,2607.28,2609.97
1646444460,ETHUSD,1,2609.97,2611.17,2609.68,2610.74
1646444520,ETHUSD,1,2610.74,2611.92,2609.63,2611.8
1646444580,ETHUSD,1,2611.8,2613.28,2610.74,2612.03
1646444640,ETHUSD,1,2612.03,2615.45,2612.0,2613.54
1646444700,ETHUSD,1,2613.54,2614.86,2613.28,2614.29
1646444760,ETHUSD,1,2614.29,2615.1,2613.22,2614.35
1646444820,ETHUSD,1,2614.35,2614.35,2612.75,2613.67
1646444880,ETHUSD,1,2613.67,2613.67,2611.54,2612.18
1646444940,ETHUSD,1,2612.18,2612.27,2611.61,2611.92
1646445000,ETHUSD,1,2611.92,2611.93,2610.32,2610.55
1646445060,ETHUSD,1,2610.55,2611.39,2610.5,2611.04
1646445120,ETHUSD,1,2611.04,2611.27,2610.79,2611.21
1646445180,ETHUSD,1,2611.21,2612.27,2610.95,2611.76
1646445240,ETHUSD,1,2611.76,2611.76,2611.5,2611.55
1646445300,ETHUSD,1,2611.55,2611.99,2609.89,2610.35
1646445360,ETHUSD,1,2610.35,2613.02,2609.8,2612.66
1646445420,ETHUSD,1,2612.66,2613.04,2612.41,2612.44
1646445480,ETHUSD,1,2612.44,2612.44,2611.05,2611.88
1646445540,ETHUSD,1,2611.88,2613.43,2611.35,2613.01
1646445600,ETHUSD,1,2613.01,2614.4,2612.42,2613.92
1646445660,ETHUSD,1,2613.92,2614.63,2613.89,2614.63
1646445720,ETHUSD,1,2614.63,2614.63,2613.98,2614.32
1646445780,ETHUSD,1,2614.32,2614.48,2612.29,2612.3
1646445840,ETHUSD,1,2612.3,2612.31,2610.87,2611.05
1646445900,ETHUSD,1,2611.05,2613.51,2610.96,2613.51
1646445960,ETHUSD,1,2613.51,2615.63,2613.51,2615.63
1646446020,ETHUSD,1,2615.63,2616.8,2614.85,2616.39
1646446080,ETHUSD,1,2616.39,2616.75,2615.82,2616.36
1646446140,ETHUSD,1,2616.36,2617.34,2616.28,2617.34
1646446200,ETHUSD,1,2617.34,2618.92,2616.5,2618.83
1646446260,ETHUSD,1,2618.83,2618.91,2617.93,2618.87
1646446320,ETHUSD,1,2618.87,2619.69,2618.74,2619.54
1646446380,ETHUSD,1,2619.54,2619.54,2618.57,2619.19
1646446440,ETHUSD,1,2619.19,2620.04,2619.01,2619.77
1646446500,ETHUSD,1,2619.77,2619.77,2618.98,2619.55
1646446560,ETHUSD,1,2619.55,2620.0,2619.12,2619.96
1646446620,ETHUSD,1,2619.96,2619.96,2618.33,2619.54
1646446680,ETHUSD,1,2619.54,2619.94,2619.14,2619.62
1646446740,ETHUSD,1,2619.62,2619.62,2617.71,2617.75
1646446800,ETHUSD,1,2617.75,2618.27,2615.89,2616.11
1646446860,ETHUSD,1,2616.11,2616.16,2613.22,2613.52
1646446920,ETHUSD,1,2613.52,2614.65,2613.34,2614.65
1646446980,ETHUSD,1,2614.65,2614.85,2613.4,2614.82
1646447040,ETHUSD,1,2614.82,2616.81,2614.82,2615.55
1646447100,ETHUSD,1,2615.55,2615.99,2611.2,2611.58
1646447160,ETHUSD,1,2611.58,2612.63,2610.38,2611.65
1646447220,ETHUSD,1,2611.65,2612.5,2610.97,2611.94
1646447280,ETHUSD,1,2611.94,2611.96,2611.42,2611.57
1646447340,ETHUSD,1,2611.57,2612.57,2611.43,2612.1
1646447400,ETHUSD,1,2612.1,2612.87,2611.64,2612.69
1646447460,ETHUSD,1,2612.69,2612.95,2612.11,2612.71
1646447520,ETHUSD,1,2612.71,2613.05,2611.82,2611.9
1646447580,ETHUSD,1,2611.9,2612.45,2611.74,2612.03
1646447640,ETHUSD,1,2612.03,2612.04,2611.28,2611.46
1646447700,ETHUSD,1,2611.46,2613.93,2610.85,2613.93
1646447760,ETHUSD,1,2613.93,2614.54,2613.27,2613.98
1646447820,ETHUSD,1,2613.98,2614.4,2612.92,2613.68
1646447880,ETHUSD,1,2613.68,2613.7,2611.07,2611.37
1646447940,ETHUSD,1,2611.37,2611.75,2610.78,2610.81
1646448000,ETHUSD,1,2610.81,2610.81,2609.17,2609.37
1646448060,ETHUSD,1,2609.37,2610.54,2607.93,2609.94
1646448120,ETHUSD,1,2609.94,2611.25,2609.88,2611.24
1646448180,ETHUSD,1,2611.24,2611.24,2610.51,2611.12
1646448240,ETHUSD,1,2611.12,2611.12,2608.78,2609.83
1646448300,ETHUSD,1,2609.83,2611.4,2609.69,2610.2
1646448360,ETHUSD,1,2610.2,2611.49,2609.92,2611.49
1646448420,ETHUSD,1,2611.49,2611.77,2610.48,2611.48
1646448480,ETHUSD,1,2611.48,2611.9,2611.09,2611.88
1646448540,ETHUSD,1,2611.88,2612.15,2611.38,2611.79
1646448600,ETHUSD,1,2611.79,2612.48,2611.53,2612.47
1646448660,ETHUSD,1,2612.47,2612.99,2612.0,2612.76
1646448720,ETHUSD,1,2612.76,2613.29,2612.61,2612.84
