start_at,symbol,period,open,high,low,close
1648857600,ETHUSD,1,3456.21,3456.21,3450.78,3451.16
1648857660,ETHUSD,1,3451.16,3452.29,3446.62,3446.62
1648857720,ETHUSD,1,3446.62,3446.97,3441.98,3443.27
1648857780,ETHUSD,1,3443.27,3446.24,3442.26,3443.78
1648857840,ETHUSD,1,3443.78,3447.69,3443.6,3444.73
1648857900,ETHUSD,1,3444.73,3445.26,3442.06,3443.38
1648857960,ETHUSD,1,3443.38,3443.38,3441.74,3442.11
1648858020,ETHUSD,1,3442.11,3444.68,3442.11,3443.82
1648858080,ETHUSD,1,3443.82,3446.64,3443.45,3445.74
1648858140,ETHUSD,1,3445.74,3445.82,3442.83,3444.05
1648858200,ETHUSD,1,3444.05,3444.05,3442.51,3443.37
1648858260,ETHUSD,1,3443.37,3445.45,3443.29,3445.45
1648858320,ETHUSD,1,3445.45,3446.06,3443.54,3443.54
1648858380,ETHUSD,1,3443.54,3443.75,3441.98,3442.58
1648858440,ETHUSD,1,3442.58,3443.02,3442.26,3442.88
1648858500,ETHUSD,1,3442.88,3445.56,3442.74,3442.74
1648858560,ETHUSD,1,3442.74,3444.01,3442.57,3443.96
1648858620,ETHUSD,1,3443.96,3448.09,3443.96,3448.08
1648858680,ETHUSD,1,3448.08,3449.25,3448.05,3448.84
1648858740,ETHUSD,1,3448.84,3449.86,3448.28,3449.02
1648858800,ETHUSD,1,3449.02,3450.3,3447.83,3448.34
1648858860,ETHUSD,1,3448.34,3449.77,3447.72,3448.92
1648858920,ETHUSD,1,3448.92,3450.64,3448.84,3450.42
1648858980,ETHUSD,1,3450.42,3450.92,3450.02,3450.14
1648859040,ETHUSD,1,3450.14,3454.52,3450.14,3454.14
1648859100,ETHUSD,1,3454.14,3455.3,3454.03,3454.32
1648859160,ETHUSD,1,3454.32,3455.2,3453.7,3454.84
1648859220,ETHUSD,1,3454.84,3456.71,3454.06,3454.27
1648859280,ETHUSD,1,3454.27,3456.68,3454.27,3456.46
1648859340,ETHUSD,1,3456.46,3457.19,3455.59,3455.81
1648859400,ETHUSD,1,3455.81,3456.33,3454.06,3455.74
1648859460,ETHUSD,1,3455.74,3461.08,3455.74,3458.81
1648859520,ETHUSD,1,3458.81,3463.12,3458.63,3462.87
1648859580,ETHUSD,1,3462.87,3463.54,3461.8,3462.56
1648859640,ETHUSD,1,3462.56,3466.53,3462.56,3466.2
1648859700,ETHUSD,1,3466.2,3467.82,3465.67,3466.17
1648859760,ETHUSD,1,3466.17,3470.42,3465.95,3470.01
1648859820,ETHUSD,1,3470.01,3474.26,3469.97,3474.24
1648859880,ETHUSD,1,3474.24,3476.98,3473.73,3476.9
1648859940,ETHUSD,1,3476.9,3477.43,3475.58,3475.92
1648860000,ETHUSD,1,3475.92,3477.25,3475.8,3476.41
1648860060,ETHUSD,1,3476.41,3476.41,3473.17,3475.22
1648860120,ETHUSD,1,3475.22,3475.53,3472.82,3474.32
1648860180,ETHUSD,1,3474.32,3476.31,3473.84,3476.05
1648860240,ETHUSD,1,3476.05,3479.56,3474.99,3479.56
1648860300,ETHUSD,1,3479.56,3491.01,3479.53,3489.53
1648860360,ETHUSD,1,3489.53,3495.62,3487.83,3495.58
1648860420,ETHUSD,1,3495.58,3497.52,3495.4,3496.59
1648860480,ETHUSD,1,3496.59,3497.61,3494.33,3497.61
1648860540,ETHUSD,1,3497.61,3497.83,3496.92,3497.03
