start_at,symbol,period,open,high,low,close
1663804800,ETHUSD,1,1246.24,1249.29,1244.69,1248.81
1663804860,ETHUSD,1,1248.81,1249.77,1246.89,1249.5
1663804920,ETHUSD,1,1249.5,1252.04,1249.07,1249.27
1663804980,ETHUSD,1,1249.27,1250.28,1244.88,1246.34
1663805040,ETHUSD,1,1246.34,1248.91,1246.2,1247.64
1663805100,ETHUSD,1,1247.64,1249.6,1247.31,1249.42
1663805160,ETHUSD,1,1249.42,1251.8,1249.28,1251.28
1663805220,ETHUSD,1,1251.28,1251.32,1248.4,1249.76
1663805280,ETHUSD,1,1249.76,1250.06,1248.5,1249.3
1663805340,ETHUSD,1,1249.3,1249.38,1247.99,1249.14
1663805400,ETHUSD,1,1249.14,1249.93,1248.22,1248.26
1663805460,ETHUSD,1,1248.26,1248.38,1245.71,1247.02
1663805520,ETHUSD,1,1247.02,1247.98,1246.91,1247.36
1663805580,ETHUSD,1,1247.36,1248.37,1247.01,1248.31
1663805640,ETHUSD,1,1248.31,1248.65,1246.64,1246.71
1663805700,ETHUSD,1,1246.71,1248.78,1246.2,1248.19
1663805760,ETHUSD,1,1248.19,1248.49,1243.01,1243.83
1663805820,ETHUSD,1,1243.83,1244.8,1242.28,1242.68
1663805880,ETHUSD,1,1242.68,1242.85,1237.71,1239.59
1663805940,ETHUSD,1,1239.59,1240.02,1237.41,1239.45
1663806000,ETHUSD,1,1239.45,1239.49,1237.45,1237.82
1663806060,ETHUSD,1,1237.82,1239.67,1237.68,1239.22
1663806120,ETHUSD,1,1239.22,1241.2,1238.84,1240.51
1663806180,ETHUSD,1,1240.51,1241.5,1239.89,1240.55
1663806240,ETHUSD,1,1240.55,1241.4,1240.17,1240.91
1663806300,ETHUSD,1,1240.91,1241.66,1240.17,1241.48
1663806360,ETHUSD,1,1241.48,1242.61,1239.86,1239.86
1663806420,ETHUSD,1,1239.86,1241.33,1239.44,1241.29
1663806480,ETHUSD,1,1241.29,1243.21,1241.1,1242.82
1663806540,ETHUSD,1,1242.82,1244.61,1242.79,1244.58
1663806600,ETHUSD,1,1244.58,1245.59,1243.12,1244.3
1663806660,ETHUSD,1,1244.3,1246.79,1244.01,1245.83
1663806720,ETHUSD,1,1245.83,1246.52,1244.75,1246.52
1663806780,ETHUSD,1,1246.52,1247.73,1246.07,1246.28
1663806840,ETHUSD,1,1246.28,1248.49,1246.06,1246.17
1663806900,ETHUSD,1,1246.17,1247.12,1245.94,1246.67
1663806960,ETHUSD,1,1246.67,1246.75,1244.76,1244.84
1663807020,ETHUSD,1,1244.84,1244.96,1243.54,1243.56
1663807080,ETHUSD,1,1243.56,1244.98,1242.66,1242.82
1663807140,ETHUSD,1,1242.82,1244.25,1242.72,1243.62
1663807200,ETHUSD,1,1243.62,1244.38,1243.56,1244.15
1663807260,ETHUSD,1,1244.15,1244.43,1242.36,1243.7
1663807320,ETHUSD,1,1243.7,1243.71,1240.78,1241.9
1663807380,ETHUSD,1,1241.9,1242.44,1240.21,1242.33
1663807440,ETHUSD,1,1242.33,1242.47,1239.45,1241.11
1663807500,ETHUSD,1,1241.11,1243.26,1239.99,1243.2
1663807560,ETHUSD,1,1243.2,1243.49,1241.48,1242.15
1663807620,ETHUSD,1,1242.15,1242.64,1241.13,1241.55
1663807680,ETHUSD,1,1241.55,1242.13,1240.71,1242.05
1663807740,ETHUSD,1,1242.05,1242.6,1241.59,1242.48
1663807800,ETHUSD,1,1242.48,1242.53,1241.68,1242.45
1663807860,ETHUSD,1,1242.45,1242.49,1241.0,1241.71
1663807920,ETHUSD,1,1241.71,1242.11,1240.24,1240.69
1663807980,ETHUSD,1,1240.69,1240.86,1239.35,1239.71
1663808040,ETHUSD,1,1239.71,1240.1,1239.1,1239.74
1663808100,ETHUSD,1,1239.74,1241.84,1239.41,1241.77
1663808160,ETHUSD,1,1241.77,1241.9,1240.29,1240.52
1663808220,ETHUSD,1,1240.52,1242.74,1240.25,1242.65
1663808280,ETHUSD,1,1242.65,1242.96,1241.35,1242.05
1663808340,ETHUSD,1,1242.05,1244.01,1241.97,1242.84
1663808400,ETHUSD,1,1242.84,1243.99,1241.57,1243.3
1663808460,ETHUSD,1,1243.3,1246.38,1243.29,1245.87
1663808520,ETHUSD,1,1245.87,1246.4,1245.33,1246.34
1663808580,ETHUSD,1,1246.34,1246.65,1245.02,1246.46
1663808640,ETHUSD,1,1246.46,1246.55,1244.59,1244.62
1663808700,ETHUSD,1,1244.62,1246.67,1244.62,1245.73
1663808760,ETHUSD,1,1245.73,1247.09,1245.64,1246.92
1663808820,ETHUSD,1,1246.92,1248.34,1246.32,1248.19
1663808880,ETHUSD,1,1248.19,1249.71,1247.74,1249.04
1663808940,ETHUSD,1,1249.04,1249.04,1247.39,1248.83
1663809000,ETHUSD,1,1248.83,1250.42,1248.46,1249.9
1663809060,ETHUSD,1,1249.9,1250.7,1249.47,1250.04
1663809120,ETHUSD,1,1250.04,1250.98,1249.37,1249.41
1663809180,ETHUSD,1,1249.41,1249.5,1247.18,1247.3
1663809240,ETHUSD,1,1247.3,1249.15,1246.3,1249.08
1663809300,ETHUSD,1,1249.08,1250.12,1248.72,1249.05
1663809360,ETHUSD,1,1249.05,1250.4,1248.71,1249.0
1663809420,ETHUSD,1,1249.0,1250.23,1249.0,1250.04
1663809480,ETHUSD,1,1250.04,1250.63,1249.04,1250.38
1663809540,ETHUSD,1,1250.38,1251.3,1250.22,1251.0
1663809600,ETHUSD,1,1251.0,1251.14,1250.11,1250.66
1663809660,ETHUSD,1,1250.66,1251.14,1250.32,1250.42
1663809720,ETHUSD,1,1250.42,1250.88,1249.57,1250.31
1663809780,ETHUSD,1,1250.31,1250.85,1248.42,1249.41
1663809840,ETHUSD,1,1249.41,1251.02,1248.82,1250.25
1663809900,ETHUSD,1,1250.25,1250.84,1249.6,1250.8
1663809960,ETHUSD,1,1250.8,1251.65,1250.09,1251.5
1663810020,ETHUSD,1,1251.5,1251.91,1250.66,1251.03
1663810080,ETHUSD,1,1251.03,1252.32,1251.03,1252.16
1663810140,ETHUSD,1,1252.16,1252.2,1251.07,1251.62
1663810200,ETHUSD,1,1251.62,1253.11,1251.33,1252.94
1663810260,ETHUSD,1,1252.94,1253.07,1252.21,1253.03
1663810320,ETHUSD,1,1253.03,1255.4,1252.75,1255.35
1663810380,ETHUSD,1,1255.35,1255.5,1253.72,1254.99
1663810440,ETHUSD,1,1254.99,1257.68,1254.59,1255.98
1663810500,ETHUSD,1,1255.98,1256.0,1251.29,1251.67
1663810560,ETHUSD,1,1251.67,1251.74,1250.32,1250.78
1663810620,ETHUSD,1,1250.78,1250.8,1248.21,1249.39
1663810680,ETHUSD,1,1249.39,1250.69,1249.37,1250.51
1663810740,ETHUSD,1,1250.51,1250.84,1248.82,1249.27
1663810800,ETHUSD,1,1249.27,1250.56,1246.89,1248.33
1663810860,ETHUSD,1,1248.33,1250.02,1248.07,1249.12
1663810920,ETHUSD,1,1249.12,1249.88,1248.85,1249.42
1663810980,ETHUSD,1,1249.42,1250.15,1248.61,1249.22
1663811040,ETHUSD,1,1249.22,1249.98,1248.96,1249.2
1663811100,ETHUSD,1,1249.2,1249.49,1247.81,1248.34
1663811160,ETHUSD,1,1248.34,1250.59,1248.3,1250.4
1663811220,ETHUSD,1,1250.4,1251.38,1250.23,1251.13
1663811280,ETHUSD,1,1251.13,1252.25,1251.06,1252.23
1663811340,ETHUSD,1,1252.23,1253.16,1252.09,1253.09
1663811400,ETHUSD,1,1253.09,1254.26,1252.79,1254.2
1663811460,ETHUSD,1,1254.2,1254.74,1252.46,1252.89
1663811520,ETHUSD,1,1252.89,1253.88,1252.83,1253.62
1663811580,ETHUSD,1,1253.62,1253.78,1252.88,1253.72
1663811640,ETHUSD,1,1253.72,1253.72,1252.7,1253.17
1663811700,ETHUSD,1,1253.17,1253.44,1252.44,1252.52
1663811760,ETHUSD,1,1252.52,1254.4,1252.38,1254.23
1663811820,ETHUSD,1,1254.23,1255.7,1252.9,1255.69
1663811880,ETHUSD,1,1255.69,1256.98,1255.33,1255.42
1663811940,ETHUSD,1,1255.42,1257.76,1255.35,1257.07
1663812000,ETHUSD,1,1257.07,1257.1,1255.09,1256.18
1663812060,ETHUSD,1,1256.18,1259.05,1255.8,1258.73
1663812120,ETHUSD,1,1258.73,1258.85,1256.96,1257.92
1663812180,ETHUSD,1,1257.92,1258.29,1256.35,1257.73
1663812240,ETHUSD,1,1257.73,1258.29,1256.82,1257.81
1663812300,ETHUSD,1,1257.81,1257.99,1255.5,1255.53
1663812360,ETHUSD,1,1255.53,1255.94,1254.46,1254.85
1663812420,ETHUSD,1,1254.85,1255.72,1254.82,1255.54
1663812480,ETHUSD,1,1255.54,1256.5,1255.41,1255.44
1663812540,ETHUSD,1,1255.44,1257.81,1255.35,1257.74
1663812600,ETHUSD,1,1257.74,1258.49,1256.98,1257.68
1663812660,ETHUSD,1,1257.68,1258.45,1257.21,1258.45
1663812720,ETHUSD,1,1258.45,1260.38,1258.32,1259.57
1663812780,ETHUSD,1,1259.57,1259.69,1257.21,1257.61
1663812840,ETHUSD,1,1257.61,1257.86,1256.63,1256.68
1663812900,ETHUSD,1,1256.68,1256.98,1256.39,1256.85
1663812960,ETHUSD,1,1256.85,1256.92,1256.36,1256.53
1663813020,ETHUSD,1,1256.53,1256.91,1255.78,1256.89
1663813080,ETHUSD,1,1256.89,1257.27,1255.67,1256.13
1663813140,ETHUSD,1,1256.13,1256.4,1255.01,1255.01
1663813200,ETHUSD,1,1255.01,1256.31,1255.01,1255.81
1663813260,ETHUSD,1,1255.81,1256.58,1255.43,1255.58
1663813320,ETHUSD,1,1255.58,1256.48,1255.51,1255.89
1663813380,ETHUSD,1,1255.89,1255.89,1254.51,1254.55
1663813440,ETHUSD,1,1254.55,1255.16,1254.29,1254.59
1663813500,ETHUSD,1,1254.59,1254.66,1253.87,1254.19
1663813560,ETHUSD,1,1254.19,1254.37,1253.6,1253.94
1663813620,ETHUSD,1,1253.94,1253.98,1252.86,1253.52
1663813680,ETHUSD,1,1253.52,1253.84,1253.11,1253.45
1663813740,ETHUSD,1,1253.45,1253.89,1253.04,1253.52
1663813800,ETHUSD,1,1253.52,1254.24,1253.01,1254.11
1663813860,ETHUSD,1,1254.11,1254.28,1253.97,1254.24
1663813920,ETHUSD,1,1254.24,1254.53,1252.73,1254.44
1663813980,ETHUSD,1,1254.44,1255.78,1254.36,1255.03
1663814040,ETHUSD,1,1255.03,1255.06,1253.66,1254.33
1663814100,ETHUSD,1,1254.33,1255.0,1254.07,1254.15
1663814160,ETHUSD,1,1254.15,1256.1,1254.01,1256.05
1663814220,ETHUSD,1,1256.05,1256.06,1254.41,1255.03
1663814280,ETHUSD,1,1255.03,1255.61,1254.98,1255.3
1663814340,ETHUSD,1,1255.3,1256.38,1255.17,1256.01
1663814400,ETHUSD,1,1256.01,1256.93,1255.84,1256.74
1663814460,ETHUSD,1,1256.74,1258.19,1256.34,1257.53
1663814520,ETHUSD,1,1257.53,1262.1,1257.0,1260.98
1663814580,ETHUSD,1,1260.98,1261.1,1258.88,1259.23
1663814640,ETHUSD,1,1259.23,1259.34,1258.21,1258.9
1663814700,ETHUSD,1,1258.9,1259.28,1258.03,1258.77
1663814760,ETHUSD,1,1258.77,1260.5,1258.66,1260.09
1663814820,ETHUSD,1,1260.09,1261.11,1259.37,1260.81
1663814880,ETHUSD,1,1260.81,1262.87,1260.75,1262.13
1663814940,ETHUSD,1,1262.13,1262.23,1260.45,1261.54
1663815000,ETHUSD,1,1261.54,1261.66,1260.17,1261.16
1663815060,ETHUSD,1,1261.16,1261.74,1259.98,1261.59
1663815120,ETHUSD,1,1261.59,1263.77,1260.23,1262.27
1663815180,ETHUSD,1,1262.27,1262.46,1261.38,1262.15
1663815240,ETHUSD,1,1262.15,1263.11,1261.76,1262.77
1663815300,ETHUSD,1,1262.77,1265.16,1262.77,1264.01
1663815360,ETHUSD,1,1264.01,1266.5,1263.49,1266.29
